id,name
1,lotion
2,windows
3,skis
4,bikes
5,candy
6,capes
7,carnivorous plants
8,shoes
9,snakes
10,alternators
11,motor oil
12,trampolines
13,paint
14,hydroponic equipment
15,lamps
16,fruit
17,balloons
18,pants
19,apples
20,water bottles
21,pencil sharpeners
22,yarn
23,journals
24,socks
25,toys
26,coffee
27,board games
28,eggs
29,calculators
30,guitars
31,yoga mats
32,hvac
33,pencils
34,keyboards
35,earplugs
36,candles
37,fishing poles
38,hats
39,animal masks
40,furniture
41,baby food
42,microwaves
43,textbooks
44,keys
45,incense
